car_age,Average of ad_price
0,9656912.32
1,10196382.40
2,9362435.00
3,7821441.08
4,6408744.07
5,5181865.81
6,4326593.29
7,3474148.06
8,2906283.99
9,2585442.78
10,2257797.88
11,2032534.23
12,1877868.39
13,1637968.83
14,1509851.93
15,1235831.26
16,1013918.24
17,834336.83
18,711948.89
19,576685.45
20,453423.83
21,412323.63
22,306613.15
23,371800.59
24,264255.37
25,466543.82
26,378714.21
27,629425.06
28,781167.07
29,752999.95
30,742111.08
31,376270.97
32,1744195.61
33,1406692.21
34,824277.58
35,773117.59
36,906033.28
37,2452238.05
38,3365708.33
39,1969499.86
40,2167727.27
41,3350000.00
42,3572142.86
43,2274999.89
44,1190000.00
45,3833333.33
46,3171800.00
47,2462446.00
48,5159798.00
49,6639000.00
50,2819000.00
51,5979999.67
52,5245000.00
53,5498750.00
54,210000.00
55,560000.00
58,842500.00
59,3545000.00
61,1290000.00
62,11500000.00
63,1550000.00
64,8900000.00
70,2500000.00
